Population,Value
Afghanistan,0.4
Albania,0.3
Algeria,1.9
Angola,0.9
Argentina,1.7
Armenia,0.8
Australia,3.7
Austria,2.6
Azerbaijan,0.2
Bahamas,5.1
Bahrain,1.4
Bangladesh,0.5
Barbados,6
Belarus,1.9
Belgium,3.6
Belize,1.8
Benin,0.2
Bhutan,0
Bolivia (Plurinational State of),1.1
Bosnia and Herzegovena,0.7
Botswana,1
Brazil,1.7
Brunei Darussalam,1.5
Bulgaria,1.7
Burkina Faso,0.1
Burundi,1
Cabo Verde,0
Cambodia,0.6
Cameroon,0.8
Canada,3.6
Central African Republic,1
Chad,0.6
Chile,2.3
China,0.6
Colombia,1.4
Comoros,0
Congo,1.1
Costa Rica,1.1
Croatia,2.4
Cuba,2
Cyprus,2.6
Czech Republic,2.1
Democratic People%u2019s Republic of Korea,0.5
Democratic Republic of the Congo,1.3
Denmark,2.7
Djibouti,0.6
Dominican Republic,1.3
Ecuador,1.2
Egypt,0.8
El Salvador,0.1
Equatorial Guinea,0.1
Eritrea,0.7
Estonia,2.7
Ethiopia,0.6
Fiji,1.6
Finland,2.8
France (metropolitan),4.5
"France, Guadeloupe",3.6
"France, La Reunion",2.5
"France, Martinique",6.1
"France, New Caledonia",3
French Guyana,3.7
French Polynesia,2.5
Gabon,0
The Gambia,0
Georgia,0.6
Germany,2.9
Ghana,0.4
Greece,1.8
Guatemala,0.2
Guinea,0
Guinea-Bissau,0
Guyana,1.9
Haiti,0.2
Honduras,0.3
Hungary,1.2
Iceland,3.1
India,0.7
Indonesia,1.1
"Iran, Islamic Republic of",1.6
Iraq,0.8
Ireland,4.1
Israel,4.1
Italy,3.8
Jamaica,3.9
Japan,1.3
Jordan,2.6
Kazakhstan,0.6
Kenya,1.8
"Korea, Republic of",1.8
Kuwait,1.5
Kyrgyzstan,0.1
Lao People%u2019s Democratic Republic,0.7
Latvia,1.8
Lebanon,2.2
Lesotho,0
Liberia,0
Libya,1.5
Lithuania,2.9
Luxembourg,2.4
Madagascar,1.4
Malawi,0.2
Malaysia,0.9
Maldives,0
Mali,0.3
Malta,2.1
Mauritania,0.1
Mauritius,1.4
Mexico,1.3
Mongolia,0.1
Montenegro,1.3
Morocco,1.7
Mozambique,1.7
Myanmar,0.6
Namibia,0.7
Nepal,0.6
Netherlands,3.5
New Zealand,3.9
Nicaragua,0.5
Niger,0
Nigeria,0.6
Norway,4.7
Oman,1.3
Pakistan,0.6
Panama,1.9
Papua New Guinea,0.6
Paraguay,1.1
Peru,1.7
Philippines,0.5
Poland,2
Portugal,2.3
Puerto Rico,1.9
Qatar,1.9
Republic of Moldova,1.1
Romania,1.8
Russian Federation,1.2
Rwanda,1
Samoa,0
Saudi Arabia,1
Senegal,0.2
Serbia,1.8
Sierra Leone,0
Singapore,1.3
Slovakia,3.1
Slovenia,3.2
Solomon Islands,1.2
Somalia,1.2
South Africa,2
South Sudan,1.3
Spain,2.3
Sri Lanka,0.9
Sudan,0.9
Suriname,3.4
Swaziland,0
Sweden,3
Switzerland,3.5
Syrian Arab Republic,1.7
Tajikistan,0.2
Thailand,0.8
The former Yugoslav Republic of Macedonia,0.7
Timor-Leste,1.5
Togo,0.1
Trinidad and Tobago,3.3
Tunisia,1.3
Turkey,2.9
Turkmenistan,0.2
Uganda,2
Ukraine,1.1
United Arab Emirates,1.7
United Kingdom,3.5
United Republic of Tanzania,0.1
United States of America,3.6
"United States of America, Guam",0.4
Uruguay,2.2
Uzbekistan,0.1
Vanuatu,0
Venezuela (Bolivarian Republic of),1.8
Viet Nam,0.5
West Bank and Gaza Strip,1.5
Yemen,0.1
Zambia,0.9
Zimbabwe,2.1
