Population,Value
Afghanistan,119.5
Albania,173.2
Algeria,132.7
Angola,112.2
Argentina,211.8
Armenia,226.4
Australia,278.6
Austria,222.7
Azerbaijan,124
Bahamas,223.4
Bahrain,121.9
Bangladesh,100
Barbados,258.1
Belarus,190.6
Belgium,288.9
Belize,161.2
Benin,102.7
Bhutan,77.1
Bolivia (Plurinational State of),164.3
Bosnia and Herzegovena,147.8
Botswana,104.7
Brazil,186.8
Brunei Darussalam,179
Bulgaria,220.1
Burkina Faso,99.8
Burundi,143
Cabo Verde,88.4
Cambodia,134.1
Cameroon,114.1
Canada,277.4
Central African Republic,99.7
Chad,99.2
Chile,163.3
China,139.9
Colombia,151.5
Comoros,121.8
Congo,115.2
Costa Rica,169.2
Croatia,231.6
Cuba,190.3
Cyprus,198.2
Czech Republic,258.9
Democratic People%u2019s Republic of Korea,170.8
Democratic Republic of the Congo,94.1
Denmark,328.8
Djibouti,111.3
Dominican Republic,149.1
Ecuador,169.2
Egypt,147.8
El Salvador,167.2
Equatorial Guinea,98.5
Eritrea,118.6
Estonia,202.7
Ethiopia,140.9
Fiji,189.3
Finland,234.2
France (metropolitan),261.9
"France, Guadeloupe",163.8
"France, La Reunion",142.1
"France, Martinique",157.4
"France, New Caledonia",269.3
French Guyana,150.1
French Polynesia,227.3
Gabon,101.5
The Gambia,69.6
Georgia,163.7
Germany,252.5
Ghana,104.8
Greece,138
Guatemala,142.7
Guinea,94
Guinea-Bissau,96
Guyana,193.5
Haiti,111.5
Honduras,146.7
Hungary,236.5
Iceland,274.2
India,97.4
Indonesia,134.4
"Iran, Islamic Republic of",120.1
Iraq,131.7
Ireland,278.9
Israel,258.7
Italy,255.2
Jamaica,179.2
Japan,185.7
Jordan,157.8
Kazakhstan,216.7
Kenya,196.6
"Korea, Republic of",293.6
Kuwait,123.3
Kyrgyzstan,129.4
Lao People%u2019s Democratic Republic,122.4
Latvia,206.5
Lebanon,192.8
Lesotho,96.7
Liberia,97
Libya,113.1
Lithuania,224
Luxembourg,259.6
Madagascar,134.3
Malawi,186.4
Malaysia,143.4
Maldives,84.8
Mali,135.6
Malta,228.9
Mauritania,97.7
Mauritius,193.9
Mexico,139.9
Mongolia,171.9
Montenegro,219.7
Morocco,114.4
Mozambique,153
Myanmar,134.6
Namibia,81.5
Nepal,85.6
Netherlands,289.6
New Zealand,274.3
Nicaragua,123.1
Niger,71
Nigeria,121.7
Norway,277.1
Oman,92.4
Pakistan,127.7
Panama,148.8
Papua New Guinea,179.8
Paraguay,153
Peru,169.8
Philippines,143.4
Poland,205.6
Portugal,198.1
Puerto Rico,193.5
Qatar,134.5
Republic of Moldova,170.2
Romania,190.6
Russian Federation,187.1
Rwanda,142.3
Samoa,96.1
Saudi Arabia,102.8
Senegal,115
Serbia,247.6
Sierra Leone,97.7
Singapore,198.7
Slovakia,238
Slovenia,251.5
Solomon Islands,145.2
Somalia,165.2
South Africa,168.9
South Sudan,143
Spain,198.2
Sri Lanka,102.7
Sudan,91
Suriname,162.7
Swaziland,111.9
Sweden,248.7
Switzerland,245.9
Syrian Arab Republic,145.2
Tajikistan,112.3
Thailand,128.8
The former Yugoslav Republic of Macedonia,220.8
Timor-Leste,149.6
Togo,104.8
Trinidad and Tobago,180.3
Tunisia,95.7
Turkey,161.6
Turkmenistan,132.8
Uganda,167.4
Ukraine,174.7
United Arab Emirates,127.1
United Kingdom,267.3
United Republic of Tanzania,132.7
United States of America,297.4
"United States of America, Guam",143
Uruguay,220.9
Uzbekistan,103.5
Vanuatu,117
Venezuela (Bolivarian Republic of),155
Viet Nam,114.2
West Bank and Gaza Strip,142.7
Yemen,80.7
Zambia,157.8
Zimbabwe,209.1
