Population,Value
Afghanistan,233.1
Albania,723.5
Algeria,322.7
Angola,206
Argentina,883.8
Armenia,868.9
Australia,1929
Austria,1590
Azerbaijan,363.7
Bahamas,801.7
Bahrain,184.4
Bangladesh,235.9
Barbados,1321.4
Belarus,966.6
Belgium,2142.6
Belize,435.5
Benin,207.1
Bhutan,150.8
Bolivia (Plurinational State of),417.4
Bosnia and Herzegovena,814.1
Botswana,232.5
Brazil,720.2
Brunei Darussalam,378.4
Bulgaria,1188.3
Burkina Faso,164.4
Burundi,267.7
Cabo Verde,199.1
Cambodia,290.7
Cameroon,248.6
Canada,1861.2
Central African Republic,216
Chad,203.3
Chile,660
China,456
Colombia,501.2
Comoros,219.8
Congo,205.7
Costa Rica,615.1
Croatia,1657.5
Cuba,983.8
Cyprus,1114.8
Czech Republic,1607.7
Democratic People%u2019s Republic of Korea,480.4
Democratic Republic of the Congo,194.8
Denmark,2011.2
Djibouti,208.5
Dominican Republic,503.8
Ecuador,534.3
Egypt,372.2
El Salvador,470.8
Equatorial Guinea,224.4
Eritrea,201.7
Estonia,1312.3
Ethiopia,250.9
Fiji,451.7
Finland,1853.6
France (metropolitan),1992.8
"France, Guadeloupe",1059.1
"France, La Reunion",589
"France, Martinique",1439.8
"France, New Caledonia",1004.9
French Guyana,524.2
French Polynesia,806.2
Gabon,207.3
The Gambia,82.8
Georgia,687.7
Germany,1964.6
Ghana,211.7
Greece,1046.6
Guatemala,316.2
Guinea,178
Guinea-Bissau,183.6
Guyana,517.2
Haiti,281.8
Honduras,331.8
Hungary,1333.5
Iceland,1749
India,202.9
Indonesia,357.7
"Iran, Islamic Republic of",290.1
Iraq,274.3
Ireland,1528.5
Israel,1445.8
Italy,1933.8
Jamaica,716.9
Japan,1830.7
Jordan,337.4
Kazakhstan,668.8
Kenya,335.1
"Korea, Republic of",1522.7
Kuwait,234
Kyrgyzstan,300.6
Lao People%u2019s Democratic Republic,226.3
Latvia,1276.5
Lebanon,633
Lesotho,197.2
Liberia,172.2
Libya,282.4
Lithuania,1239.5
Luxembourg,1914
Madagascar,288.5
Malawi,341.7
Malaysia,384.1
Maldives,212
Mali,231.2
Malta,1451.2
Mauritania,178.2
Mauritius,530.2
Mexico,430.2
Mongolia,260.9
Montenegro,1116.9
Morocco,336.1
Mozambique,308.3
Myanmar,322.9
Namibia,197.4
Nepal,187.6
Netherlands,1939.8
New Zealand,1759.5
Nicaragua,301.1
Niger,151.2
Nigeria,243.6
Norway,2020.1
Oman,143.1
Pakistan,291.8
Panama,498
Papua New Guinea,385.2
Paraguay,446.9
Peru,462.7
Philippines,340.2
Poland,1072.1
Portugal,1473.9
Puerto Rico,1017.4
Qatar,175.7
Republic of Moldova,787.7
Romania,983.7
Russian Federation,903
Rwanda,255.1
Samoa,254.8
Saudi Arabia,192.8
Senegal,194.1
Serbia,1409.7
Sierra Leone,166.8
Singapore,843.2
Slovakia,1207.8
Slovenia,1648.8
Solomon Islands,310.9
Somalia,299.1
South Africa,464.3
South Sudan,297.2
Spain,1467.6
Sri Lanka,321.9
Sudan,198.8
Suriname,532.3
Swaziland,238.3
Sweden,1978
Switzerland,1938.9
Syrian Arab Republic,344.9
Tajikistan,232.5
Thailand,514.9
The former Yugoslav Republic of Macedonia,1185
Timor-Leste,322.1
Togo,195.8
Trinidad and Tobago,789.5
Tunisia,310.1
Turkey,553.5
Turkmenistan,306.8
Uganda,307.6
Ukraine,870.9
United Arab Emirates,131.1
United Kingdom,1594
United Republic of Tanzania,269.4
United States of America,1892.1
"United States of America, Guam",531
Uruguay,1163.6
Uzbekistan,230.4
Vanuatu,296.2
Venezuela (Bolivarian Republic of),484.5
Viet Nam,306.4
West Bank and Gaza Strip,306.8
Yemen,153.7
Zambia,286.8
Zimbabwe,373.7
